Service,EC2-Instances($),Elastic Container Service for Kubernetes($),EC2-Other($),Relational Database Service($),VPC($),Elastic Container Service($),Elastic Load Balancing($),CloudWatch($),Key Management Service($),Secrets Manager($),EC2 Container Registry (ECR)($),Cost Explorer($),Inspector($),Security Hub($),S3($),Service Catalog($),Location Service($),SQS($),DynamoDB($),SNS($),Glacier($),Step Functions($),Lightsail($),Simple Workflow Service($),CloudShell($),CloudTrail($),Glue($),Tax($),Systems Manager($),CloudFormation($),Lambda($),X-Ray($),Total costs($)
15-05-2025,9.3024,,1.856937384,0.011177703,0.6,,0.540000026,0.00377022,0.129539256,0.039431366,0.000460906,,,0.004,8.38188E-05,,,0,,0,5.06E-08,3.24E-08,,0,,0,0,,,,,,12.48780076
16-05-2025,13.58405759,19.083438,2.863987873,0.011177703,1.028043165,0,1.125007114,0.586255016,0.174206008,0.038939677,0.000460906,,,0.004,5.84148E-05,,,0,,0,5.06E-08,3.24E-08,,0,,0,0,,,,,,38.49963155
17-05-2025,16.1856,28.8,3.210104428,0.011177703,1.3266668,1.6E-09,1.620013869,0.867592938,0.196434384,0.038944677,0.000460906,,,0.004,7.88188E-05,,,0,,0,5.06E-08,3.24E-08,,0,,0,0,,,,,,52.26107461
18-05-2025,16.1856,28.8,3.169795166,0.011177703,1.324425085,3.9E-09,1.620018125,0.868217244,0.196644384,0.039054677,0.000460906,,,0.004,7.68258E-05,,,0,,0,7.59E-08,4.86E-08,,0,,0,0,,,,,,52.21947024
19-05-2025,16.1856,28.8,3.219680154,0.011177703,1.324416755,0,1.620017325,0.866568342,0.196425384,0.038944677,0.000460906,,,0.004,7.88244E-05,,,0,,0,5.06E-08,3.24E-08,,0,,0,0,,,,,,52.26737015
20-05-2025,14.72935866,15.66617117,3.171039852,0.404280604,1.299162505,0.807942656,1.530033821,0.519041287,0.173633008,0.038939677,0.00179831,,,0.004,0.000264809,,,0,,0,5.06E-08,3.24E-08,,0,,0,0,,,,,,38.34566644
21-05-2025,15.14137234,14.4,3.154990616,1.133740116,1.8124986,2.285784626,2.002581015,0.478630498,0.194550384,0.038944677,0.00179831,,,0.004,0.000656819,,,0,,0,5.06E-08,3.24E-08,,0,,0,0,,,,,,40.64954808
22-05-2025,15.2064,14.4,3.187265597,1.264903226,1.9522736,2.644841995,2.161420086,0.858392146,0.194763384,0.039054677,0.000460906,,,0.004,8.18292E-05,,,0,,0,7.59E-08,4.86E-08,,0,,0,0,,,,,,41.91385757
23-05-2025,13.00859057,6.497100168,2.369427209,0.522257023,1.255802785,1.175686033,1.552544964,0.595181331,0.176945266,0.038944677,0.000460906,,,0.004,7.88088E-05,,,0,,0.0000015,5.06E-08,3.24E-08,,0,,0,0,,,,,,27.19702133
24-05-2025,11.4048,,1.861431586,0.023745948,0.720958335,,1.080036242,0.003251896,0.16190832,0.038939677,0.000460906,,,0.0032,5.84184E-05,,,0,,0.000001,5.06E-08,3.24E-08,,0,,0,0,,,,,,15.29879241
25-05-2025,11.4048,,1.867699637,0.011177703,0.72,,1.080016236,0.00325022,0.16229232,0.039059677,0.000460906,,,0.0032,9.72138E-05,,,0,,0.000002,7.59E-08,4.86E-08,,0,,0,0,,,,,,15.29205604
26-05-2025,11.4048,,1.86141118,0.011177703,0.72,,1.080020475,0.00325022,0.16190832,0.038939677,0.000460906,,,0.0032,5.84148E-05,,,0,,0.000001,5.06E-08,3.24E-08,,0,,0,0,,,,,,15.28522798
27-05-2025,11.4048,,1.854624224,0.011177703,0.72,,1.080019238,0.00325022,0.16198332,0.038944677,0.000460906,,,0.0032,0.000078825,,,0,,0.0000015,5.06E-08,3.24E-08,,0,,0,0,,,,,,15.2785407
28-05-2025,11.47681989,,1.869381755,0.420734651,0.772366665,,1.08003151,0.00351022,0.160624234,0.038939677,0.000460906,,,0.0032,5.84184E-05,,,0,,0.000001,5.06E-08,3.24E-08,,0,,0,0,,,,,,15.82612901
29-05-2025,11.88015189,,1.909099273,15.79328791,0.92756111,,1.080014996,0.00403022,0.177188266,0.039059677,0.000460906,,,0.0032,0.000102233,,,0,,0.000002,7.59E-08,4.86E-08,,0,,0,0,,,,,,31.81415861
30-05-2025,11.95752389,,1.914815672,22.87861434,0.958358335,,1.080014095,0.00377022,0.194223384,0.038939677,0.000460906,,,0.0032,5.84148E-05,,,0,,0.000001,5.06E-08,3.24E-08,,0,,0,0,,,,,,39.02998001
31-05-2025,11.9616,,1.906834861,23.53337125,0.96,,1.080017201,0.00377022,0.194280384,0.038944677,0.000460906,,,0.0032,8.38184E-05,,,0,,0.0000015,5.06E-08,3.24E-08,,0,,0,0,,,,,,39.6825649
01-06-2025,11.9616,,1.933096735,23.53621696,0.96,,1.08001401,0.00078,0.200000002,0.040345003,0.00047627,,,0.004,7.68262E-05,,,0,,0,7.59E-08,4.86E-08,,0,,0,0,0,,,,,39.71660593
02-06-2025,11.91805809,,1.926937223,18.64923404,1.00912083,,1.080015849,0.00052,0.200153002,0.040235003,0.00047627,,,0.004,8.38154E-05,,,0,,0,5.06E-08,3.24E-08,,0,,0,0,,,,,,34.8288342
03-06-2025,12.15977956,,1.947259515,0.745160247,1.22420972,,1.080021842,0.003853334,0.195167446,0.040230003,0.00047627,,,0.004,5.84212E-05,,,0,,0,5.06E-08,3.24E-08,,0,,0,0,,,,,,17.40021644
04-06-2025,13.28542382,,2.041485671,59.90180418,2.385845825,1.175181599,1.533642432,0.222959167,0.201005002,0.040235003,0.00047627,,,0.004,8.88148E-05,,,0,,0,5.06E-08,3.24E-08,,0,,0,0,,,0,,,80.79214787
05-06-2025,13.09338587,0.719434888,2.014210854,23.10011053,2.413558325,1.976787935,1.973862939,0.39488111,0.200678002,0.040230003,0.001813675,,,0.004,5.84184E-05,,,0,,0,5.06E-08,3.24E-08,,0,,0,0,,,,,,45.93301264
